D,M,sigma_ku,sigma_ka,sigma_w
40,0.0018223629999999998,3.6139980000000005e-08,1.443961e-12,6.403025e-11,2.0889499999999995e-09
41,0.001970675,2.886505e-08,7.717176e-13,3.353904e-11,9.327718e-10
42,0.001778979,4.100949e-08,2.507211e-12,1.081076e-10,2.871183e-09
43,0.001630485,2.164879e-08,5.898831e-13,2.6541759999999998e-11,9.526042e-10
44,0.0016179760000000001,3.5318620000000005e-08,1.325117e-12,5.770439e-11,1.6606289999999998e-09
45,0.001976996,3.3969239999999995e-08,1.791943e-12,6.704399e-11,6.028093e-10
46,0.001807049,3.6668e-08,1.5851809999999999e-12,6.975748e-11,2.1642289999999998e-09
47,0.0018275470000000001,3.977745e-08,1.7400110000000001e-12,7.456513e-11,1.887954e-09
48,0.001750765,2.164879e-08,5.550333000000001e-13,2.5329629999999998e-11,1.0023899999999999e-09
49,0.001769277,2.428888e-08,5.132859999999999e-13,2.265371e-11,7.036929e-10
50,0.002234026,4.147883999999999e-08,1.5132120000000001e-12,6.382279e-11,1.391329e-09
51,0.002204621,4.153751000000001e-08,2.012138e-12,8.691803000000001e-11,2.289344e-09
52,0.0021431420000000002,4.059881e-08,1.273246e-12,5.3922930000000004e-11,1.2436300000000002e-09
53,0.002099126,4.124417e-08,1.298833e-12,5.0608170000000004e-11,5.749557e-10
54,0.002289845,5.362328e-08,3.763361e-12,1.58088e-10,3.328795e-09
55,0.002387424,4.734572e-08,4.117572e-12,1.90371e-10,8.072152e-09
56,0.002283925,5.3916629999999994e-08,3.733653e-12,1.61126e-10,4.182645e-09
57,0.002219004,3.919076e-08,1.212957e-12,4.741533e-11,8.424326e-10
58,0.002224476,3.4907940000000005e-08,1.807374e-12,8.299918e-11,3.418538e-09
59,0.00229424,4.4588289999999995e-08,1.487533e-12,6.017631e-11,1.0463779999999998e-09
60,0.002751163,6.582639000000001e-08,5.04919e-12,1.802376e-10,1.0397719999999998e-09
61,0.002560066,6.606107e-08,5.054811e-12,2.014862e-10,3.0169380000000003e-09
62,0.002478915,4.406027e-08,2.510176e-12,1.120039e-10,3.7159169999999996e-09
63,0.002711644,7.943755999999999e-08,7.316593e-12,3.127581e-10,7.888831000000001e-09
64,0.002433513,6.611974000000001e-08,4.8780019999999996e-12,1.824222e-10,1.8567149999999998e-09
65,0.0025937020000000002,7.433337e-08,5.9655610000000005e-12,2.35725e-10,2.5481e-09
66,0.002526865,5.0748509999999996e-08,3.8278739999999994e-12,1.506808e-10,1.933885e-09
67,0.002794487,6.805581e-08,5.06264e-12,2.14128e-10,4.855758e-09
68,0.002753336,7.550675e-08,3.700125e-12,1.139369e-10,1.274038e-10
69,0.002412172,4.112683000000001e-08,1.703607e-12,7.145404e-11,1.521698e-09
70,0.002941586,6.482902e-08,3.640251e-12,1.3352e-10,8.728924e-10
71,0.0030984420000000003,1.004997e-07,1.121676e-11,4.342244e-10,3.99951e-09
72,0.003134545,1.249645e-07,1.9363279999999998e-11,7.101896e-10,5.711458e-09
73,0.0029849570000000003,5.808211e-08,4.387785e-12,1.977955e-10,7.081227e-09
74,0.002863446,7.128259e-08,5.9127e-12,2.422117e-10,4.034486e-09
75,0.0028756759999999998,1.1370010000000001e-07,1.357968e-11,4.766109e-10,2.4238529999999998e-09
76,0.003146558,1.205057e-07,1.597766e-11,5.554278e-10,2.073304e-09
77,0.003083657,1.0665989999999998e-07,1.22901e-11,4.148127e-10,1.2400219999999998e-09
78,0.003034781,1.36757e-07,2.3104329999999998e-11,6.352387e-10,3.409924e-09
79,0.002908436,8.002424000000001e-08,6.521852e-12,2.649132e-10,6.141061999999999e-09
80,0.003224023,6.799714e-08,8.120474e-12,3.19724e-10,4.091528e-09
81,0.003299965,1.393384e-07,2.222909e-11,6.858082e-10,1.4381129999999998e-09
82,0.003539028,9.821157000000001e-08,9.781887e-12,3.970559e-10,6.439268e-09
83,0.0034885940000000002,8.06696e-08,6.710399e-12,2.616408e-10,3.5464559999999993e-09
84,0.003308164,1.1147069999999999e-07,1.247058e-11,4.057096e-10,1.002721e-09
85,0.003558922,1.2185510000000002e-07,1.487459e-11,5.012591e-10,4.084226e-09
86,0.003450198,8.776852e-08,9.58515e-12,3.436266e-10,3.3871079999999997e-09
87,0.003423489,8.207765e-08,5.050404e-12,1.994052e-10,2.520778e-09
88,0.003393443,1.246712e-07,1.730019e-11,4.9555e-10,1.129885e-09
89,0.0033731720000000002,1.3804770000000002e-07,1.786107e-11,5.740807e-10,1.450431e-09
90,0.003993288,2.439449e-07,6.882342e-11,1.347432e-09,1.7568e-09
91,0.00362893,1.5306689999999998e-07,2.704303e-11,7.658825e-10,7.183659e-09
